frame,tl.x,tl.y,br.x,br.y
2420,1386,2445,1415,26
2297,1376,2317,1396,26
2285,1356,2309,1376,26
1612,1293,1636,1315,26
1418,1244,1432,1260,26
2924,1212,2958,1259,26
2486,1200,2508,1214,26
1442,656,1469,691,26
2858,1551,2873,1565,27
2827,1536,2849,1556,27
2959,1518,2980,1543,27
2790,1476,2816,1511,27
2338,1426,2356,1449,27
2415,1385,2447,1415,27
2284,1356,2317,1394,27
1612,1288,1637,1316,27
1416,1244,1432,1259,27
2924,1213,2958,1259,27
2487,1200,2508,1214,27
1442,662,1469,692,27
2858,1551,2873,1565,28
2830,1538,2849,1556,28
2958,1521,2983,1547,28
2792,1482,2817,1515,28
2339,1433,2362,1451,28
2420,1386,2447,1409,28
2284,1354,2315,1394,28
1613,1288,1637,1316,28
2924,1214,2959,1259,28
2488,1200,2508,1214,28
1442,663,1469,692,28
2857,1551,2881,1568,29
2832,1539,2849,1556,29
2958,1524,2993,1549,29
2790,1478,2818,1517,29
2340,1433,2362,1450,29
2420,1396,2435,1410,29
2436,1389,2451,1407,29
2281,1349,2315,1394,29
1614,1288,1638,1316,29
2924,1214,2959,1259,29
2490,1193,2508,1214,29
1443,666,1471,693,29
2934,1837,2950,1851,30
2857,1551,2881,1569,30
2835,1540,2849,1556,30
2973,1537,2993,1553,30
2790,1478,2819,1519,30
2339,1433,2362,1450,30
2420,1396,2435,1410,30
2436,1378,2458,1407,30
2280,1343,2315,1394,30
1619,1300,1637,1317,30
2924,1215,2958,1259,30
2489,1192,2508,1213,30
1445,669,1465,693,30
2934,1832,2950,1851,31
2859,1551,2882,1571,31
2835,1541,2849,1556,31
2973,1539,2993,1553,31
2790,1478,2820,1520,31
2339,1433,2362,1451,31
2420,1377,2462,1410,31
2278,1340,2309,1383,31
1620,1300,1639,1316,31
1416,1244,1432,1259,31
2924,1216,2960,1259,31
1447,674,1465,693,31
2935,1830,2950,1850,32
2855,1549,2882,1572,32
2835,1542,2849,1556,32
2972,1539,2993,1553,32
2791,1478,2823,1521,32
2339,1433,2362,1451,32
2420,1376,2462,1410,32
2277,1340,2307,1381,32
1623,1300,1639,1316,32
1416,1245,1431,1259,32
2944,1232,2960,1252,32
2924,1219,2948,1234,32
1449,674,1465,693,32
2935,1830,2950,1850,33
2855,1549,2885,1576,33
2972,1539,2993,1553,33
2793,1479,2826,1524,33
2338,1433,2362,1455,33
2420,1396,2437,1410,33
2435,1376,2464,1405,33
2276,1341,2304,1378,33
1620,1293,1639,1313,33
1414,1245,1431,1259,33
2946,1233,2960,1249,33
2924,1220,2948,1234,33
2484,1192,2504,1207,33
2855,1549,2887,1576,34
2795,1479,2826,1525,34
2338,1434,2362,1455,34
2436,1376,2466,1403,34
2274,1346,2302,1376,34
1619,1294,1641,1313,34
2946,1235,2961,1249,34
2484,1193,2505,1208,34
2855,1549,2887,1577,35
2796,1482,2826,1532,35
2339,1435,2355,1455,35
2436,1376,2468,1401,35
2269,1345,2283,1361,35
1619,1294,1642,1311,35
2484,1192,2505,1208,35
2855,1549,2887,1577,36
2796,1482,2834,1535,36
2339,1437,2355,1455,36
2434,1376,2470,1400,36
2266,1344,2282,1362,36
1621,1295,1643,1310,36
2484,1192,2506,1208,36
2869,1561,2888,1577,37
2809,1515,2834,1536,37
2796,1483,2820,1510,37
2341,1437,2363,1456,37
2424,1373,2473,1409,37
2264,1343,2295,1369,37
1628,1298,1643,1314,37
2484,1193,2506,1208,37
2945,1837,2962,1853,38
2870,1562,2888,1577,38
2810,1518,2834,1537,38
2799,1489,2820,1517,38
2341,1438,2363,1456,38
2426,1373,2476,1409,38
2263,1343,2294,1367,38
1621,1298,1643,1314,38
2485,1193,2508,1209,38
1455,672,1473,692,38
2870,1559,2888,1577,39
2803,1492,2834,1538,39
2343,1438,2357,1454,39
2427,1370,2480,1408,39
2263,1347,2278,1361,39
2279,1340,2294,1367,39
1621,1298,1643,1314,39
2485,1193,2508,1209,39
1455,670,1473,692,39
2948,1837,2966,1851,40
2931,1830,2945,1845,40
2870,1559,2888,1577,40
2805,1498,2842,1542,40
2430,1369,2482,1407,40
2263,1340,2292,1362,40
1621,1298,1643,1314,40
2486,1194,2506,1209,40
1453,670,1473,692,40
2870,1559,2889,1576,41
2805,1501,2842,1542,41
2432,1368,2483,1406,41
2262,1341,2291,1361,41
1621,1298,1643,1314,41
2489,1195,2506,1209,41
1453,669,1473,692,41
2933,1829,2947,1849,42
2870,1559,2891,1575,42
2807,1503,2848,1553,42
2437,1367,2483,1401,42
2256,1342,2291,1360,42
1453,669,1473,692,42
2932,1828,2947,1854,43
2870,1559,2891,1575,43
2808,1507,2848,1553,43
2439,1367,2485,1401,43
2256,1342,2287,1359,43
1453,669,1473,688,43
2933,1828,2950,1852,44
2870,1559,2891,1575,44
2809,1509,2849,1553,44
2345,1440,2362,1455,44
2442,1375,2462,1401,44
2463,1367,2487,1395,44
2256,1340,2287,1361,44
1454,669,1473,688,44
2927,1833,2951,1855,45
2870,1559,2889,1574,45
2810,1513,2849,1553,45
2345,1440,2362,1455,45
2448,1367,2490,1401,45
2255,1340,2283,1361,45
1454,668,1471,686,45
1447,651,1462,665,45
2926,1833,2952,1855,46
2870,1559,2889,1574,46
2810,1513,2849,1553,46
2345,1440,2365,1456,46
2449,1365,2492,1401,46
2254,1342,2280,1361,46
1625,1292,1640,1313,46
1447,651,1462,665,46
2926,1832,2952,1855,47
2812,1515,2849,1554,47
2451,1365,2497,1401,47
2251,1339,2278,1360,47
1626,1292,1640,1307,47
2447,1221,2461,1235,47
2926,1828,2951,1855,48
2892,1580,2908,1596,48
2813,1516,2849,1555,48
2348,1440,2364,1456,48
2452,1366,2500,1401,48
2250,1339,2276,1360,48
